Date,Time,CO(GT),CO ppm,C6H6(GT),C6H6 ppm,,
3/13/2004,14:00:00,2,1.746,8.6,0.00270,,
3/13/2004,15:00:00,2,1.746,9.2,0.00288,,
3/13/2004,16:00:00,2.5,2.182,10.2,0.00321,,
3/13/2004,17:00:00,2.3,2.008,10.6,0.00332,,
3/13/2004,18:00:00,3.2,2.793,15.5,0.00484,,
3/13/2004,19:00:00,4.2,3.666,19.6,0.00615,,
3/13/2004,20:00:00,4.2,3.666,19.2,0.00601,,
3/13/2004,21:00:00,4.2,3.666,18.3,0.00572,,
3/13/2004,22:00:00,3.1,2.706,13.1,0.00411,,
3/13/2004,23:00:00,2.6,2.270,10.9,0.00340,,
3/14/2004,0:00:00,2.9,2.531,11.0,0.00343,,
3/14/2004,1:00:00,2.8,2.444,11.9,0.00371,,
3/14/2004,2:00:00,2.5,2.182,8.6,0.00270,,
3/14/2004,3:00:00,2.4,2.095,9.7,0.00305,,
3/14/2004,4:00:00,-200,-174.581,5.2,0.00163,,
3/14/2004,5:00:00,1.2,1.047,3.7,0.00114,,
3/14/2004,6:00:00,1,0.873,2.5,0.00078,,
3/14/2004,7:00:00,0.9,0.786,2.4,0.00076,,
3/14/2004,8:00:00,1.4,1.222,4.2,0.00132,,
3/14/2004,9:00:00,1.6,1.397,6.4,0.00199,,
3/14/2004,10:00:00,2.2,1.920,8.6,0.00269,,
3/14/2004,11:00:00,2.8,2.444,10.9,0.00340,,
3/14/2004,12:00:00,2.8,2.444,10.7,0.00334,,
3/14/2004,13:00:00,2,1.746,7.5,0.00236,,
3/14/2004,14:00:00,1.8,1.571,7.5,0.00235,,
3/14/2004,15:00:00,1.9,1.659,8.2,0.00255,,
3/14/2004,16:00:00,3,2.619,11.9,0.00371,,
3/14/2004,17:00:00,2.9,2.531,12.0,0.00377,,
3/14/2004,18:00:00,2.5,2.182,12.2,0.00381,,
3/14/2004,19:00:00,4.6,4.015,20.6,0.00644,,
3/14/2004,20:00:00,5.9,5.150,23.1,0.00724,,
3/14/2004,21:00:00,3.4,2.968,14.7,0.00461,,
3/14/2004,22:00:00,2.1,1.833,9.0,0.00282,,
3/14/2004,23:00:00,2.2,1.920,8.8,0.00277,,
3/15/2004,0:00:00,1.8,1.571,7.4,0.00230,,
3/15/2004,1:00:00,1.8,1.571,6.9,0.00217,,
3/15/2004,2:00:00,1.8,1.571,7.0,0.00218,,
3/15/2004,3:00:00,1.1,0.960,4.4,0.00139,,
3/15/2004,4:00:00,-200,-174.581,4.0,0.00125,,
3/15/2004,5:00:00,1,0.873,3.9,0.00121,,
3/15/2004,6:00:00,1.4,1.222,6.4,0.00200,,
3/15/2004,7:00:00,2.2,1.920,9.7,0.00303,,
3/15/2004,8:00:00,5.5,4.801,25.9,0.00810,,
3/15/2004,9:00:00,8.1,7.071,36.7,0.01149,,
3/15/2004,10:00:00,5.8,5.063,26.6,0.00834,,
3/15/2004,11:00:00,4.2,3.666,20.1,0.00630,,
3/15/2004,12:00:00,3.1,2.706,14.1,0.00441,,
3/15/2004,13:00:00,2.9,2.531,14.9,0.00467,,
3/15/2004,14:00:00,2.9,2.531,15.4,0.00483,,
3/15/2004,15:00:00,2.5,2.182,12.1,0.00378,,
3/15/2004,16:00:00,2.3,2.008,11.5,0.00361,,
3/15/2004,17:00:00,2.8,2.444,14.8,0.00462,,
3/15/2004,18:00:00,6.1,5.325,32.1,0.01006,,
3/15/2004,19:00:00,8,6.983,39.2,0.01227,,
3/15/2004,20:00:00,6.5,5.674,31.0,0.00969,,
3/15/2004,21:00:00,4.2,3.666,19.9,0.00623,,
3/15/2004,22:00:00,3.2,2.793,15.3,0.00479,,
3/15/2004,23:00:00,1.4,1.222,6.9,0.00216,,
3/16/2004,0:00:00,2.1,1.833,11.1,0.00349,,
3/16/2004,1:00:00,1.2,1.047,5.4,0.00169,,
3/16/2004,2:00:00,0.8,0.698,2.8,0.00088,,
3/16/2004,3:00:00,0.7,0.611,2.3,0.00073,,
3/16/2004,4:00:00,-200,-174.581,2.6,0.00081,,
3/16/2004,5:00:00,0.6,0.524,2.0,0.00063,,
3/16/2004,6:00:00,0.9,0.786,3.5,0.00109,,
3/16/2004,7:00:00,1.3,1.135,5.1,0.00161,,
3/16/2004,8:00:00,3.4,2.968,16.2,0.00506,,
3/16/2004,9:00:00,3.7,3.230,19.7,0.00616,,
3/16/2004,10:00:00,5.3,4.626,25.1,0.00784,,
3/16/2004,11:00:00,4.1,3.579,20.0,0.00626,,
3/16/2004,12:00:00,3.3,2.881,18.3,0.00574,,
3/16/2004,13:00:00,4,3.492,22.3,0.00698,,
3/16/2004,14:00:00,3.8,3.317,20.4,0.00640,,
3/16/2004,15:00:00,2.8,2.444,14.6,0.00457,,
3/16/2004,16:00:00,2.9,2.531,16.6,0.00518,,
3/16/2004,17:00:00,2.9,2.531,15.8,0.00494,,
3/16/2004,18:00:00,3.4,2.968,17.8,0.00558,,
3/16/2004,19:00:00,3.9,3.404,19.1,0.00598,,
3/16/2004,20:00:00,3.2,2.793,15.8,0.00494,,
3/16/2004,21:00:00,5.1,4.452,24.9,0.00779,,
3/16/2004,22:00:00,2.6,2.270,13.5,0.00424,,
3/16/2004,23:00:00,1.7,1.484,9.1,0.00284,,
3/17/2004,0:00:00,1.7,1.484,8.6,0.00270,,
3/17/2004,1:00:00,1.2,1.047,5.4,0.00170,,
3/17/2004,2:00:00,0.9,0.786,4.1,0.00127,,
3/17/2004,3:00:00,0.7,0.611,2.6,0.00081,,
3/17/2004,4:00:00,-200,-174.581,1.9,0.00059,,
3/17/2004,5:00:00,0.5,0.436,1.6,0.00050,,
3/17/2004,6:00:00,0.5,0.436,1.9,0.00059,,
3/17/2004,7:00:00,1.6,1.397,7.5,0.00234,,
3/17/2004,8:00:00,4.1,3.579,21.4,0.00669,,
3/17/2004,9:00:00,6.6,5.761,36.4,0.01141,,
3/17/2004,10:00:00,4.3,3.753,21.3,0.00666,,
3/17/2004,11:00:00,2.9,2.531,15.4,0.00482,,
3/17/2004,12:00:00,2.5,2.182,12.5,0.00391,,
3/17/2004,13:00:00,2.8,2.444,15.1,0.00473,,
3/17/2004,14:00:00,2.6,2.270,13.7,0.00430,,
3/17/2004,15:00:00,2,1.746,10.4,0.00327,,
3/17/2004,16:00:00,2.9,2.531,15.2,0.00475,,
3/17/2004,17:00:00,2.5,2.182,12.3,0.00385,,
3/17/2004,18:00:00,5,4.365,27.0,0.00844,,
3/17/2004,19:00:00,7.6,6.634,38.4,0.01202,,
3/17/2004,20:00:00,6.7,5.848,35.1,0.01099,,
3/17/2004,21:00:00,5.7,4.976,27.2,0.00853,,
3/17/2004,22:00:00,2.8,2.444,15.0,0.00471,,
3/17/2004,23:00:00,2.6,2.270,15.7,0.00492,,
3/18/2004,0:00:00,2.3,2.008,13.0,0.00406,,
3/18/2004,1:00:00,1.4,1.222,8.1,0.00254,,
3/18/2004,2:00:00,1,0.873,5.5,0.00171,,
3/18/2004,3:00:00,0.7,0.611,3.6,0.00112,,
3/18/2004,4:00:00,-200,-174.581,2.9,0.00090,,
3/18/2004,5:00:00,0.6,0.524,2.5,0.00080,,
3/18/2004,6:00:00,0.7,0.611,3.0,0.00093,,
3/18/2004,7:00:00,1.5,1.309,7.7,0.00240,,
3/18/2004,8:00:00,4.7,4.103,23.3,0.00728,,
3/18/2004,9:00:00,6.6,5.761,35.8,0.01120,,
3/18/2004,10:00:00,4.5,3.928,21.3,0.00667,,
3/18/2004,11:00:00,2.8,2.444,14.3,0.00448,,
3/18/2004,12:00:00,2.2,1.920,12.5,0.00392,,
3/18/2004,13:00:00,2.2,1.920,12.2,0.00382,,
3/18/2004,14:00:00,2.3,2.008,13.1,0.00410,,
3/18/2004,15:00:00,2.2,1.920,14.4,0.00450,,
3/18/2004,16:00:00,2.8,2.444,16.8,0.00527,,
3/18/2004,17:00:00,2.7,2.357,14.5,0.00452,,
3/18/2004,18:00:00,3.7,3.230,21.5,0.00673,,
3/18/2004,19:00:00,5.1,4.452,26.4,0.00826,,
3/18/2004,20:00:00,5.1,4.452,26.0,0.00813,,
3/18/2004,21:00:00,3.2,2.793,14.1,0.00443,,
3/18/2004,22:00:00,2.1,1.833,10.3,0.00323,,
3/18/2004,23:00:00,1.7,1.484,8.3,0.00259,,
3/19/2004,0:00:00,2,1.746,8.9,0.00279,,
3/19/2004,1:00:00,1.6,1.397,6.6,0.00207,,
3/19/2004,2:00:00,0.9,0.786,3.6,0.00113,,
3/19/2004,3:00:00,0.7,0.611,2.5,0.00079,,
3/19/2004,4:00:00,-200,-174.581,1.8,0.00056,,
3/19/2004,5:00:00,0.5,0.436,1.3,0.00040,,
3/19/2004,6:00:00,0.7,0.611,2.3,0.00072,,
3/19/2004,7:00:00,1.5,1.309,6.7,0.00211,,
3/19/2004,8:00:00,4.8,4.190,22.8,0.00714,,
3/19/2004,9:00:00,6.2,5.412,31.3,0.00980,,
3/19/2004,10:00:00,4,3.492,19.2,0.00602,,
3/19/2004,11:00:00,3.3,2.881,16.4,0.00512,,
3/19/2004,12:00:00,2.8,2.444,14.0,0.00439,,
3/19/2004,13:00:00,3,2.619,15.3,0.00478,,
3/19/2004,14:00:00,3.3,2.881,16.7,0.00524,,
3/19/2004,15:00:00,3.5,3.055,19.0,0.00595,,
3/19/2004,16:00:00,4,3.492,19.4,0.00608,,
3/19/2004,17:00:00,4.6,4.015,20.9,0.00653,,
3/19/2004,18:00:00,4.1,3.579,20.2,0.00631,,
3/19/2004,19:00:00,4.5,3.928,21.7,0.00681,,
3/19/2004,20:00:00,3.9,3.404,19.8,0.00621,,
3/19/2004,21:00:00,4,3.492,16.7,0.00524,,
3/19/2004,22:00:00,2.2,1.920,9.1,0.00286,,
3/19/2004,23:00:00,2.1,1.833,8.3,0.00260,,
3/20/2004,0:00:00,1.7,1.484,5.8,0.00181,,
3/20/2004,1:00:00,1.6,1.397,5.2,0.00163,,
3/20/2004,2:00:00,1.3,1.135,4.1,0.00129,,
3/20/2004,3:00:00,1.3,1.135,3.4,0.00107,,
3/20/2004,4:00:00,-200,-174.581,2.9,0.00091,,
3/20/2004,5:00:00,0.8,0.698,3.1,0.00099,,
3/20/2004,6:00:00,0.8,0.698,2.5,0.00079,,
3/20/2004,7:00:00,1.1,0.960,4.3,0.00135,,
3/20/2004,8:00:00,2.1,1.833,8.9,0.00278,,
3/20/2004,9:00:00,2.4,2.095,10.5,0.00330,,
3/20/2004,10:00:00,2.6,2.270,12.5,0.00392,,
3/20/2004,11:00:00,2.8,2.444,12.3,0.00386,,
3/20/2004,12:00:00,2.6,2.270,11.7,0.00366,,
3/20/2004,13:00:00,2.6,2.270,11.7,0.00367,,
3/20/2004,14:00:00,2.1,1.833,9.3,0.00292,,
3/20/2004,15:00:00,1.7,1.484,7.6,0.00239,,
3/20/2004,16:00:00,1.6,1.397,6.7,0.00210,,
3/20/2004,17:00:00,2.1,1.833,9.7,0.00304,,
3/20/2004,18:00:00,2.3,2.008,12.4,0.00388,,
3/20/2004,19:00:00,3.5,3.055,16.6,0.00521,,
3/20/2004,20:00:00,3.9,3.404,16.4,0.00512,,
3/20/2004,21:00:00,3.3,2.881,13.7,0.00430,,
3/20/2004,22:00:00,2.3,2.008,9.9,0.00309,,
3/20/2004,23:00:00,2.1,1.833,8.9,0.00280,,
3/21/2004,0:00:00,2.8,2.444,10.6,0.00331,,
3/21/2004,1:00:00,2.1,1.833,7.4,0.00230,,
3/21/2004,2:00:00,1.6,1.397,6.2,0.00195,,
3/21/2004,3:00:00,1.6,1.397,6.5,0.00204,,
3/21/2004,4:00:00,-200,-174.581,5.8,0.00181,,
3/21/2004,5:00:00,1.1,0.960,4.0,0.00125,,
3/21/2004,6:00:00,0.7,0.611,2.1,0.00067,,
3/21/2004,7:00:00,0.8,0.698,3.6,0.00112,,
3/21/2004,8:00:00,1.2,1.047,4.4,0.00139,,
3/21/2004,9:00:00,1.4,1.222,5.4,0.00168,,
3/21/2004,10:00:00,1.7,1.484,7.1,0.00223,,
3/21/2004,11:00:00,1.8,1.571,7.3,0.00228,,
3/21/2004,12:00:00,1.8,1.571,7.6,0.00238,,
3/21/2004,13:00:00,1.9,1.659,6.8,0.00213,,
3/21/2004,14:00:00,1.3,1.135,4.6,0.00144,,
3/21/2004,15:00:00,1.6,1.397,8.4,0.00264,,
3/21/2004,16:00:00,1.9,1.659,6.9,0.00216,,
3/21/2004,17:00:00,2.3,2.008,9.0,0.00280,,
3/21/2004,18:00:00,3.8,3.317,15.1,0.00472,,
3/21/2004,19:00:00,3.5,3.055,12.6,0.00395,,
3/21/2004,20:00:00,4.3,3.753,15.1,0.00474,,
3/21/2004,21:00:00,2.8,2.444,9.9,0.00310,,
3/21/2004,22:00:00,1.9,1.659,8.0,0.00250,,
3/21/2004,23:00:00,1.9,1.659,7.9,0.00248,,
3/22/2004,0:00:00,1.7,1.484,6.1,0.00190,,
3/22/2004,1:00:00,1.5,1.309,5.1,0.00159,,
3/22/2004,2:00:00,0.6,0.524,1.7,0.00054,,
3/22/2004,3:00:00,0.4,0.349,0.7,0.00022,,
3/22/2004,4:00:00,-200,-174.581,0.8,0.00026,,
3/22/2004,5:00:00,0.3,0.262,0.7,0.00023,,
3/22/2004,6:00:00,0.6,0.524,2.0,0.00063,,
3/22/2004,7:00:00,1.2,1.047,5.1,0.00160,,
3/22/2004,8:00:00,3.6,3.142,17.7,0.00554,,
3/22/2004,9:00:00,3.7,3.230,18.4,0.00577,,
3/22/2004,10:00:00,1.8,1.571,6.9,0.00217,,
3/22/2004,11:00:00,1.6,1.397,7.3,0.00227,,
3/22/2004,12:00:00,1.9,1.659,9.6,0.00302,,
3/22/2004,13:00:00,2,1.746,10.4,0.00327,,
3/22/2004,14:00:00,2.2,1.920,11.2,0.00350,,
3/22/2004,15:00:00,2.1,1.833,10.7,0.00334,,
3/22/2004,16:00:00,2.3,2.008,11.6,0.00362,,
3/22/2004,17:00:00,2.6,2.270,12.4,0.00387,,
3/22/2004,18:00:00,3.8,3.317,18.3,0.00574,,
3/22/2004,19:00:00,4.4,3.841,21.0,0.00658,,
3/22/2004,20:00:00,4.5,3.928,21.0,0.00659,,
3/22/2004,21:00:00,3.3,2.881,14.5,0.00452,,
3/22/2004,22:00:00,2,1.746,8.4,0.00264,,
3/22/2004,23:00:00,1.1,0.960,4.3,0.00136,,
3/23/2004,0:00:00,0.9,0.786,3.8,0.00119,,
3/23/2004,1:00:00,0.8,0.698,2.7,0.00086,,
3/23/2004,2:00:00,0.7,0.611,2.5,0.00079,,
3/23/2004,3:00:00,0.5,0.436,1.2,0.00039,,
3/23/2004,4:00:00,-200,-174.581,0.8,0.00025,,
3/23/2004,5:00:00,0.3,0.262,0.6,0.00020,,
3/23/2004,6:00:00,0.5,0.436,1.8,0.00055,,
3/23/2004,7:00:00,1.1,0.960,4.6,0.00145,,
3/23/2004,8:00:00,3,2.619,14.2,0.00445,,
3/23/2004,9:00:00,3.8,3.317,21.0,0.00658,,
3/23/2004,10:00:00,3.4,2.968,16.2,0.00507,,
3/23/2004,11:00:00,3,2.619,15.5,0.00486,,
3/23/2004,12:00:00,2.7,2.357,13.4,0.00420,,
3/23/2004,13:00:00,3.5,3.055,16.9,0.00529,,
3/23/2004,14:00:00,2.8,2.444,12.4,0.00389,,
3/23/2004,15:00:00,1.9,1.659,10.1,0.00315,,
3/23/2004,16:00:00,2,1.746,8.7,0.00272,,
3/23/2004,17:00:00,3,2.619,13.8,0.00433,,
3/23/2004,18:00:00,1.9,1.659,9.3,0.00293,,
3/23/2004,19:00:00,2.7,2.357,13.0,0.00407,,
3/23/2004,20:00:00,3.3,2.881,14.3,0.00448,,
3/23/2004,21:00:00,1.7,1.484,7.6,0.00239,,
3/23/2004,22:00:00,1.3,1.135,5.3,0.00164,,
3/23/2004,23:00:00,1.3,1.135,5.4,0.00168,,
3/24/2004,0:00:00,1.2,1.047,4.9,0.00152,,
3/24/2004,1:00:00,1.1,0.960,4.6,0.00145,,
3/24/2004,2:00:00,0.9,0.786,2.7,0.00085,,
3/24/2004,3:00:00,0.6,0.524,1.6,0.00049,,
3/24/2004,4:00:00,-200,-174.581,1.7,0.00052,,
3/24/2004,5:00:00,0.6,0.524,1.2,0.00039,,
3/24/2004,6:00:00,0.8,0.698,1.7,0.00053,,
3/24/2004,7:00:00,1.2,1.047,4.8,0.00149,,
3/24/2004,8:00:00,3.1,2.706,13.8,0.00431,,
3/24/2004,9:00:00,4.4,3.841,23.7,0.00741,,
3/24/2004,10:00:00,3.4,2.968,14.2,0.00445,,
3/24/2004,11:00:00,1.7,1.484,8.0,0.00249,,
3/24/2004,12:00:00,1.5,1.309,6.7,0.00209,,
3/24/2004,13:00:00,1.7,1.484,8.7,0.00272,,
3/24/2004,14:00:00,2.2,1.920,10.8,0.00339,,
3/24/2004,15:00:00,-200,-174.581,6.7,0.00209,,
3/24/2004,16:00:00,2.7,2.357,11.4,0.00356,,
3/24/2004,17:00:00,2.8,2.444,13.4,0.00418,,
3/24/2004,18:00:00,2.7,2.357,12.0,0.00376,,
3/24/2004,19:00:00,4.5,3.928,20.2,0.00632,,
3/24/2004,20:00:00,3.5,3.055,14.4,0.00451,,
3/24/2004,21:00:00,2.6,2.270,9.4,0.00294,,
3/24/2004,22:00:00,1.7,1.484,5.9,0.00186,,
3/24/2004,23:00:00,1.3,1.135,4.5,0.00142,,
3/25/2004,0:00:00,1.3,1.135,4.5,0.00140,,
3/25/2004,1:00:00,1,0.873,2.5,0.00079,,
3/25/2004,2:00:00,0.7,0.611,1.8,0.00056,,
3/25/2004,3:00:00,0.7,0.611,1.4,0.00045,,
3/25/2004,4:00:00,0.5,0.436,0.9,0.00028,,
3/25/2004,5:00:00,0.5,0.436,0.6,0.00019,,
3/25/2004,6:00:00,0.6,0.524,1.4,0.00045,,
3/25/2004,7:00:00,1.1,0.960,3.8,0.00118,,
3/25/2004,8:00:00,2.7,2.357,11.6,0.00362,,
3/25/2004,9:00:00,3.5,3.055,17.8,0.00558,,
3/25/2004,10:00:00,2.3,2.008,8.8,0.00277,,
3/25/2004,11:00:00,1.6,1.397,6.8,0.00214,,
3/25/2004,12:00:00,1.3,1.135,5.9,0.00186,,
3/25/2004,13:00:00,2,1.746,8.9,0.00278,,
3/25/2004,14:00:00,1.9,1.659,8.2,0.00256,,
3/25/2004,15:00:00,1.9,1.659,8.6,0.00270,,
3/25/2004,16:00:00,2.2,1.920,10.1,0.00317,,
3/25/2004,17:00:00,2,1.746,9.4,0.00296,,
3/25/2004,18:00:00,2.9,2.531,14.6,0.00458,,
3/25/2004,19:00:00,5.2,4.539,24.6,0.00769,,
3/25/2004,20:00:00,4.6,4.015,21.6,0.00677,,
3/25/2004,21:00:00,2.5,2.182,10.3,0.00323,,
3/25/2004,22:00:00,1.5,1.309,5.7,0.00178,,
3/25/2004,23:00:00,1.2,1.047,4.5,0.00140,,
3/26/2004,0:00:00,1.7,1.484,5.5,0.00171,,
3/26/2004,1:00:00,1.4,1.222,4.8,0.00150,,
3/26/2004,2:00:00,1.2,1.047,3.6,0.00114,,
3/26/2004,3:00:00,0.6,0.524,1.7,0.00053,,
3/26/2004,4:00:00,0.7,0.611,2.2,0.00070,,
3/26/2004,5:00:00,0.8,0.698,3.0,0.00095,,
3/26/2004,6:00:00,0.9,0.786,4.0,0.00127,,
3/26/2004,7:00:00,1.6,1.397,6.7,0.00208,,
3/26/2004,8:00:00,3.4,2.968,16.7,0.00523,,
3/26/2004,9:00:00,3.8,3.317,19.3,0.00606,,
3/26/2004,10:00:00,3.1,2.706,14.8,0.00463,,
3/26/2004,11:00:00,2.7,2.357,13.4,0.00420,,
3/26/2004,12:00:00,2,1.746,11.0,0.00344,,
3/26/2004,13:00:00,2.3,2.008,12.5,0.00392,,
3/26/2004,14:00:00,1.9,1.659,8.4,0.00264,,
3/26/2004,15:00:00,1.3,1.135,5.3,0.00164,,
3/26/2004,16:00:00,1.9,1.659,8.8,0.00276,,
3/26/2004,17:00:00,2.3,2.008,11.2,0.00351,,
3/26/2004,18:00:00,2.4,2.095,11.6,0.00364,,
3/26/2004,19:00:00,2.7,2.357,12.4,0.00388,,
3/26/2004,20:00:00,2.6,2.270,10.6,0.00332,,
3/26/2004,21:00:00,1.5,1.309,6.0,0.00187,,
3/26/2004,22:00:00,1.2,1.047,4.6,0.00144,,
3/26/2004,23:00:00,1.1,0.960,4.1,0.00127,,
3/27/2004,0:00:00,1.5,1.309,5.2,0.00164,,
3/27/2004,1:00:00,1,0.873,3.2,0.00100,,
3/27/2004,2:00:00,1.2,1.047,4.5,0.00140,,
3/27/2004,3:00:00,1.1,0.960,3.8,0.00119,,
3/27/2004,4:00:00,-200,-174.581,3.8,0.00118,,
3/27/2004,5:00:00,0.8,0.698,1.9,0.00060,,
3/27/2004,6:00:00,0.9,0.786,2.4,0.00076,,
3/27/2004,7:00:00,1.1,0.960,3.3,0.00102,,
3/27/2004,8:00:00,1.5,1.309,6.7,0.00209,,
3/27/2004,9:00:00,1.8,1.571,8.5,0.00265,,
3/27/2004,10:00:00,2.1,1.833,9.7,0.00304,,
3/27/2004,11:00:00,2.1,1.833,9.4,0.00295,,
3/27/2004,12:00:00,1.9,1.659,9.0,0.00282,,
3/27/2004,13:00:00,2.1,1.833,10.0,0.00314,,
3/27/2004,14:00:00,2.5,2.182,12.6,0.00396,,
3/27/2004,15:00:00,1.9,1.659,7.6,0.00238,,
3/27/2004,16:00:00,2.2,1.920,11.8,0.00369,,
3/27/2004,17:00:00,2.3,2.008,11.2,0.00351,,
3/27/2004,18:00:00,2.7,2.357,12.4,0.00387,,
3/27/2004,19:00:00,3,2.619,12.9,0.00403,,
3/27/2004,20:00:00,2.8,2.444,12.2,0.00382,,
3/27/2004,21:00:00,2.2,1.920,8.8,0.00274,,
3/27/2004,22:00:00,1.6,1.397,6.8,0.00212,,
3/27/2004,23:00:00,2.1,1.833,8.6,0.00269,,
3/28/2004,0:00:00,2.3,2.008,8.9,0.00280,,
3/28/2004,1:00:00,2.3,2.008,8.3,0.00260,,
3/28/2004,2:00:00,1.7,1.484,6.3,0.00198,,
3/28/2004,3:00:00,2.2,1.920,8.3,0.00260,,
3/28/2004,4:00:00,1.3,1.135,5.1,0.00160,,
3/28/2004,5:00:00,0.8,0.698,2.6,0.00081,,
3/28/2004,6:00:00,1.1,0.960,3.6,0.00113,,
3/28/2004,7:00:00,1.4,1.222,3.6,0.00114,,
3/28/2004,8:00:00,1.3,1.135,4.7,0.00147,,
3/28/2004,9:00:00,1.9,1.659,7.5,0.00236,,
3/28/2004,10:00:00,2.3,2.008,9.0,0.00281,,
3/28/2004,11:00:00,2.3,2.008,9.5,0.00296,,
3/28/2004,12:00:00,1.8,1.571,7.7,0.00241,,
3/28/2004,13:00:00,1.4,1.222,5.7,0.00177,,
3/28/2004,14:00:00,1,0.873,3.8,0.00119,,
3/28/2004,15:00:00,1.4,1.222,4.8,0.00150,,
3/28/2004,16:00:00,1.3,1.135,4.3,0.00135,,
3/28/2004,17:00:00,1.3,1.135,4.1,0.00127,,
3/28/2004,18:00:00,1.4,1.222,4.7,0.00146,,
3/28/2004,19:00:00,1.9,1.659,6.2,0.00195,,
3/28/2004,20:00:00,1.8,1.571,5.5,0.00172,,
3/28/2004,21:00:00,1.1,0.960,3.3,0.00103,,
3/28/2004,22:00:00,1.1,0.960,3.2,0.00101,,
