iter	RMSE
203	2.886963936
204	2.885065182
205	2.884009867
206	2.881705397
207	2.880741603
208	2.878622255
209	2.876452597
210	2.87473151
211	2.872167946
212	2.871050081
213	2.869642016
214	2.867725661
215	2.865537141
216	2.863773812
217	2.862246542
218	2.86130471
219	2.859702092
220	2.858399612
221	2.85728239
222	2.856268915
223	2.855389986
224	2.854016777
225	2.852763253
226	2.852012521
227	2.850983399
228	2.849463749
229	2.848608654
230	2.846844175
231	2.84573174
232	2.844335864
233	2.842789282
234	2.841065905
235	2.839761908
236	2.838838373
237	2.837047017
238	2.836072567
239	2.835104164
240	2.833855292
241	2.832912248
242	2.832216029
243	2.830616266
244	2.829334627
245	2.827405596
246	2.826421683
247	2.825197634
248	2.823133948
249	2.820856952
250	2.818123103
251	2.816826682
252	2.816061255
253	2.813260026
254	2.812007324
255	2.810663763
256	2.809742635
257	2.808187821
258	2.806620951
259	2.805696089
260	2.804874944
261	2.803544377
262	2.802462323
263	2.801383483
264	2.800476201
265	2.798956865
266	2.797761064
267	2.795433819
268	2.79385322
269	2.792785919
270	2.791596684
271	2.790398709
272	2.78911728
273	2.787859009
274	2.785947868
275	2.784917509
276	2.783950642
277	2.782901943
278	2.781396682
279	2.780557101
280	2.779845298
281	2.779057193
282	2.777999906
283	2.777248727
284	2.775973355
285	2.774216167
286	2.773100779
287	2.771489094
288	2.770220183
289	2.768367898
290	2.766937109
291	2.766018842
292	2.763958501
293	2.763159293
294	2.761567143
295	2.760206059
296	2.759529213
297	2.758572499
298	2.756477431
299	2.754811509
300	2.754154281
301	2.753013194
302	2.751527373
303	2.749880203
304	2.748764056
305	2.748177146
306	2.747261496
307	2.745665962
308	2.74503257
309	2.743870579
310	2.742836934
311	2.742190083
312	2.741861251
313	2.74075645
314	2.738893778
315	2.737697379
316	2.735929972
317	2.735413102
318	2.733809056
319	2.732985389
320	2.731165774
321	2.730801685
322	2.729859335
323	2.72927024
324	2.727661913
325	2.726888646
326	2.72552021
327	2.725081213
328	2.724220441
329	2.723592815
330	2.722797904
331	2.721286731
332	2.720156277
333	2.718190631
334	2.717168659
335	2.715268366
336	2.713993733
337	2.713454496
338	2.712330378
339	2.710535663
340	2.708898791
341	2.707727148
342	2.706510005
343	2.704807848
344	2.704009976
345	2.702779078
346	2.702028141
347	2.701102929
348	2.700131958
349	2.699210558
350	2.698014947
351	2.69758573
352	2.697293912
353	2.695590025
354	2.694752004
355	2.694346033
356	2.693878057
357	2.692651256
358	2.691553176
359	2.690015184
360	2.689221459
361	2.688080565
362	2.687638762
363	2.686166803
364	2.684472936
365	2.683440098
366	2.682902214
367	2.681140952
368	2.679663329
369	2.67866626
370	2.677536572
371	2.676734585
372	2.675522567
373	2.674834715
374	2.674305503
375	2.673019595
376	2.671492968
377	2.670764627
378	2.669357689
379	2.667733961
380	2.666646603
381	2.665795292
382	2.664664273
383	2.663110114
384	2.661936865
385	2.660825678
386	2.660226056
387	2.659235481
388	2.658523025
389	2.657486647
390	2.656279247
391	2.654665667
392	2.653658958
393	2.653226198
394	2.651812966
395	2.650555552
396	2.649761457
397	2.648020959
398	2.64727408
399	2.645852784
400	2.645213517
401	2.64444689
402	2.643190889
403	2.64187948
404	2.640933753
405	2.639348095
406	2.637855582
407	2.636663999
408	2.635710263
409	2.634213034
410	2.632928199
411	2.631725325
412	2.630436641
413	2.629639386
414	2.629031622
415	2.627730384
416	2.626332247
417	2.62483049
418	2.62383131
419	2.622643454
420	2.621565147
421	2.620356619
422	2.619848542
423	2.618837076
424	2.617862946
425	2.616354504
426	2.615778265
427	2.614578299
428	2.61335044
429	2.612552491
430	2.611902037
431	2.611382561
432	2.610294757
433	2.609542951
434	2.608456498
435	2.607262001
436	2.605983403
437	2.604733468
438	2.604178011
439	2.603100598
440	2.601816675
441	2.600679795
442	2.600282522
443	2.598928814
444	2.59773683
445	2.597208732
446	2.596430797
447	2.594857698
448	2.593877542
449	2.593223726
450	2.592409026
451	2.591628863
452	2.590811362
453	2.590367881
454	2.589769299
455	2.588867775
456	2.587909829
457	2.586429706
458	2.585237968
459	2.584757314
460	2.583958016
461	2.58347188
462	2.582438894
463	2.582011655
464	2.581392336
465	2.581085782
466	2.57958816
467	2.579289916
468	2.579000248
469	2.578461186
470	2.576765564
471	2.575614606
472	2.57521209
473	2.574553274
474	2.573259307
475	2.572207372
476	2.571415288
477	2.570276354
478	2.569906082
479	2.569246018
480	2.568235456
481	2.567194447
482	2.566548527
483	2.565131732
484	2.563907675
485	2.562801342
486	2.561945501
487	2.561527198
488	2.561192234
489	2.560209219
490	2.55924152
491	2.55836388
492	2.557374436
493	2.556520525
494	2.555197889
495	2.554519203
496	2.553304526
497	2.551947839
498	2.551592527
499	2.550875222
500	2.549915502
501	2.549319653
502	2.548231779
503	2.547528949
504	2.546832876
505	2.545994474
506	2.545159168
507	2.543968801
508	2.543635066
509	2.543030408
510	2.54255035
511	2.5418996
512	2.541177494
513	2.540474544
514	2.540252822
515	2.539244373
516	2.538179092
517	2.537491556
518	2.536360509
519	2.535319166
520	2.534928269
521	2.534436504
522	2.533604821
523	2.532817855
524	2.532080454
525	2.531603003
526	2.5308625
527	2.529990251
528	2.529210988
529	2.528384495
530	2.527436655
531	2.526654795
532	2.525660557
533	2.524795775
534	2.524167586
535	2.523716016
536	2.523102896
537	2.522023995
538	2.521251066
539	2.520833142
540	2.520153722
541	2.519529382
542	2.519048751
543	2.518846216
544	2.518010031
545	2.516804366
546	2.516083207
547	2.514809295
548	2.514071386
549	2.513336158
550	2.512881011
551	2.511606379
552	2.511118237
553	2.5097647
554	2.508757678
555	2.508198064
556	2.507159468
557	2.50577541
558	2.505236673
559	2.504175703
560	2.503300959
561	2.502988428
562	2.502812178
563	2.501332053
564	2.500464728
565	2.500039294
566	2.49961015
567	2.498881174
568	2.498182989
569	2.497259064
570	2.496334951
571	2.495748167
572	2.49542582
573	2.494894505
574	2.494347727
575	2.493678923
576	2.49326171
577	2.492377068
578	2.49188044
579	2.491317878
580	2.490493803
581	2.489991851
582	2.488647787
583	2.488081382
584	2.486709787
585	2.485974688
586	2.485064694
587	2.484253525
588	2.483283572
589	2.482891135
590	2.482549364
591	2.481656384
592	2.481263499
593	2.48048317
594	2.479665223
595	2.47913953
596	2.478463298
597	2.47784175
598	2.477095544
599	2.47590415
600	2.474896851
601	2.47410903
602	2.473797726
603	2.472748451
604	2.472152898
605	2.471742232
606	2.470933874
607	2.470313198
608	2.469721516
609	2.469065758
610	2.467913664
611	2.4677195
612	2.466921074
613	2.466118526
614	2.465318066
615	2.464971272
616	2.464053515
617	2.463165528
618	2.462504037
619	2.461861278
620	2.461193324
621	2.460782736
622	2.459700309
623	2.458619294
624	2.45812482
625	2.456795916
626	2.4559709
627	2.455612237
628	2.454843463
629	2.454257502
630	2.453743033
631	2.453295825
632	2.452682142
633	2.452068921
634	2.451576244
635	2.451030055
636	2.450470729
637	2.450090734
638	2.449776641
639	2.448520419
640	2.448311375
641	2.447588851
642	2.446641907
643	2.446242184
644	2.445781528
645	2.445140781
646	2.444382311
